,Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
84,Bachelors,2015,1.0,3,27,0,1,5,1
85,Bachelors,2016,0.5,2,36,1,0,0,1
86,Bachelors,2017,0.5,2,27,0,0,5,1
87,Masters,2015,0.5,2,32,0,0,4,0
88,Bachelors,2014,1.0,3,28,1,0,4,0
89,Masters,2012,0.0,3,32,1,0,2,0
90,Bachelors,2018,1.0,3,30,1,0,0,1
91,Bachelors,2015,0.0,3,22,1,0,0,0
92,Bachelors,2017,0.0,2,34,0,0,5,0
93,Masters,2013,0.0,3,36,1,0,2,0
94,Bachelors,2014,1.0,3,39,1,0,3,1
95,PHD,2018,1.0,3,26,1,0,4,1
96,Bachelors,2016,1.0,3,31,0,0,0,0
97,Bachelors,2014,1.0,3,27,1,0,5,1
98,Bachelors,2014,1.0,3,29,0,0,0,0
99,Bachelors,2015,1.0,3,24,0,0,2,1
100,Masters,2012,0.5,3,25,1,0,3,1
101,Bachelors,2013,0.5,3,25,1,0,3,0
102,Masters,2017,0.0,3,26,0,0,4,1
103,Bachelors,2015,0.5,2,28,0,1,1,1
104,Bachelors,2017,0.0,3,28,1,0,2,0
105,Masters,2015,0.5,1,28,0,0,3,1
106,Masters,2015,0.0,3,25,1,0,3,0
107,Bachelors,2017,1.0,3,28,1,0,1,0
108,Masters,2013,0.5,3,25,1,0,3,0
109,Bachelors,2015,1.0,2,25,0,0,3,1
110,Bachelors,2015,1.0,3,27,0,0,5,0
112,Bachelors,2013,1.0,3,27,1,0,5,1
113,Bachelors,2012,1.0,3,25,1,0,3,0
114,Masters,2017,0.0,2,28,1,0,2,0
115,Bachelors,2014,0.5,1,26,0,0,4,1
116,Bachelors,2015,1.0,3,28,1,0,2,0
117,Masters,2013,0.0,3,26,1,0,4,0
118,Bachelors,2017,1.0,3,26,0,0,4,0
119,Bachelors,2017,0.0,2,25,1,0,3,0
120,Bachelors,2012,1.0,1,28,0,0,3,0
121,PHD,2015,0.0,3,26,1,0,4,0
122,Bachelors,2015,0.0,3,25,0,0,3,0
123,Bachelors,2012,1.0,3,26,1,0,4,1
124,Bachelors,2014,1.0,3,28,0,0,3,0
125,Masters,2014,0.5,3,24,1,0,2,0
126,Bachelors,2013,1.0,3,28,1,0,1,0
127,Bachelors,2015,0.5,3,27,1,0,5,0
128,Bachelors,2018,1.0,3,25,1,0,3,1
129,Masters,2013,0.5,1,24,1,0,2,1
131,Bachelors,2013,1.0,3,28,1,0,1,1
132,Masters,2016,0.0,3,27,1,0,5,0
133,Masters,2017,1.0,3,26,1,0,4,0
134,Masters,2017,0.0,2,24,1,0,2,0
135,Masters,2018,0.0,3,26,1,0,4,1
136,Masters,2017,0.0,1,25,0,0,3,1
137,Bachelors,2012,0.5,3,28,1,0,2,0
139,Bachelors,2013,1.0,3,26,1,0,4,0
140,Masters,2013,0.0,3,27,1,0,5,1
141,Bachelors,2017,0.5,2,24,0,0,2,1
142,Bachelors,2017,0.0,3,28,0,0,2,0
143,Bachelors,2016,1.0,3,26,1,0,4,0
144,Bachelors,2013,1.0,3,27,0,0,5,0
145,Masters,2015,0.5,2,28,0,0,3,0
146,Bachelors,2014,1.0,3,25,1,0,3,0
147,Bachelors,2016,0.5,3,28,1,0,1,0
148,Masters,2013,1.0,1,25,1,0,3,1
149,Bachelors,2015,0.5,3,26,1,0,4,0
150,Bachelors,2018,0.0,3,27,0,0,5,1
151,Bachelors,2016,1.0,3,24,1,0,2,1
152,Bachelors,2012,0.5,2,24,0,0,2,1
153,Bachelors,2014,1.0,3,26,1,0,4,0
154,Bachelors,2016,0.5,2,24,0,0,2,1
155,Masters,2012,0.0,3,26,0,0,4,0
156,Bachelors,2013,1.0,3,28,0,0,3,0
157,Bachelors,2012,1.0,3,24,1,0,2,1
158,Bachelors,2015,1.0,3,25,1,0,3,1
159,Bachelors,2016,1.0,3,28,1,0,3,0
161,Bachelors,2013,1.0,3,26,0,0,4,0
162,Masters,2017,0.0,3,24,0,0,2,1
163,Bachelors,2016,1.0,3,25,1,0,3,1
164,Bachelors,2015,1.0,3,25,1,0,3,0
165,Bachelors,2014,1.0,3,27,1,0,5,0
166,Bachelors,2012,1.0,3,24,1,0,2,0
168,Bachelors,2015,1.0,3,28,1,0,3,0
169,Masters,2015,0.0,3,26,1,0,4,1
170,Bachelors,2014,0.0,3,28,0,0,1,0
171,Bachelors,2015,0.5,3,25,1,0,3,0
172,Masters,2015,0.5,2,28,0,0,2,0
173,Bachelors,2014,1.0,3,27,0,0,5,0
178,Bachelors,2014,0.0,3,24,0,0,2,0
179,Bachelors,2012,1.0,3,27,1,0,5,1
180,Masters,2017,0.0,3,27,1,0,5,1
182,Bachelors,2018,1.0,3,24,1,0,2,1
184,Masters,2017,0.0,2,28,0,0,1,1
185,Masters,2017,0.5,2,24,1,0,2,1
186,Masters,2016,0.0,3,25,0,0,3,1
187,PHD,2015,0.0,3,28,0,0,1,0
188,Bachelors,2017,0.0,2,26,1,0,4,0
189,Bachelors,2013,1.0,2,27,1,0,5,0
190,Bachelors,2015,1.0,3,26,1,0,4,0
194,Bachelors,2013,0.0,3,25,0,0,3,0
195,Bachelors,2013,0.5,3,28,1,0,1,0
196,Bachelors,2017,0.5,3,24,1,0,2,0
197,Bachelors,2013,0.0,3,27,0,0,5,0
198,Bachelors,2015,1.0,3,28,1,1,2,0
199,Bachelors,2015,0.5,3,28,1,0,3,0
200,Bachelors,2014,0.5,2,25,0,0,3,1
202,Bachelors,2017,1.0,3,27,1,0,5,0
203,Bachelors,2014,0.5,2,26,0,0,4,1
204,PHD,2013,0.0,3,24,1,0,2,0
206,Bachelors,2017,1.0,3,25,1,0,3,0
207,Masters,2013,0.5,2,27,1,0,5,1
208,Masters,2017,1.0,3,28,1,0,2,0
209,Bachelors,2012,1.0,3,25,1,0,3,1
211,Masters,2017,0.5,2,27,0,0,5,0
212,Masters,2013,1.0,2,28,0,0,2,1
213,Masters,2017,0.5,3,28,1,0,1,1
214,Bachelors,2018,1.0,3,27,0,0,5,1
215,Bachelors,2014,0.0,3,25,0,0,3,0
217,Masters,2013,0.0,3,26,1,0,4,1
218,Bachelors,2013,0.5,2,25,0,0,3,1
219,Masters,2012,0.0,3,26,1,0,4,1
221,Bachelors,2013,0.5,2,26,1,0,4,0
222,Bachelors,2018,1.0,3,28,0,0,2,1
223,Bachelors,2013,1.0,3,27,1,0,5,0
224,Bachelors,2015,0.5,1,24,0,1,2,1
225,Bachelors,2013,0.5,3,28,1,0,2,0
226,Bachelors,2015,0.5,2,27,0,1,5,1
228,Bachelors,2014,0.5,2,27,0,0,5,1
229,Bachelors,2013,0.5,3,24,1,0,2,0
230,Bachelors,2014,0.5,3,24,1,0,2,0
231,PHD,2015,0.0,2,25,0,0,3,0
232,Bachelors,2014,1.0,3,26,1,1,4,0
234,Masters,2015,0.5,2,25,0,0,3,0
235,Bachelors,2015,1.0,3,24,1,0,2,0
237,Masters,2017,1.0,2,26,0,0,4,1
238,Bachelors,2012,0.0,3,28,1,0,1,0
239,Masters,2017,0.5,2,26,0,0,4,0
240,Bachelors,2016,0.5,3,25,1,0,3,0
241,Bachelors,2017,0.0,3,24,1,0,2,1
242,Bachelors,2013,0.5,2,28,0,0,3,1
243,Bachelors,2014,1.0,3,25,0,0,3,1
245,Bachelors,2014,0.5,2,24,0,0,2,1
246,Bachelors,2015,1.0,3,28,1,0,2,1
247,Bachelors,2015,1.0,3,27,1,0,5,0
248,Bachelors,2016,0.5,3,26,1,0,4,0
249,Masters,2015,0.0,3,26,0,0,4,1
250,Bachelors,2016,1.0,1,28,0,0,2,0
251,Bachelors,2014,1.0,3,25,1,1,3,0
253,Bachelors,2017,1.0,3,28,1,0,2,0
254,Masters,2018,0.0,3,24,0,1,2,1
255,Bachelors,2017,0.5,2,25,1,0,3,0
256,Bachelors,2018,0.5,2,24,0,0,2,1
257,Masters,2017,0.0,2,28,0,0,1,0
258,Bachelors,2013,0.0,1,27,0,0,5,0
259,Bachelors,2017,0.0,2,27,0,0,5,0
261,Bachelors,2016,0.5,2,27,0,0,5,1
262,Masters,2018,1.0,3,24,1,0,2,1
263,Bachelors,2012,0.5,1,26,1,0,4,0
265,Masters,2016,0.0,1,27,1,0,5,0
266,Bachelors,2015,0.0,3,26,0,0,4,0
267,Bachelors,2012,1.0,3,27,1,1,5,0
268,Bachelors,2013,1.0,3,24,1,1,2,1
269,Bachelors,2018,1.0,3,26,0,0,4,1
270,Masters,2017,0.5,2,26,0,0,4,1
271,Masters,2017,0.0,2,28,0,0,2,0
273,Masters,2013,0.0,3,25,1,0,3,0
274,Bachelors,2018,1.0,3,28,0,1,1,1
275,Bachelors,2013,0.5,3,27,0,0,5,1
277,Bachelors,2014,1.0,3,28,1,0,1,0
278,Bachelors,2017,0.0,3,28,0,0,3,0
279,Masters,2017,0.0,2,28,1,1,2,0
281,Masters,2017,0.0,3,26,1,0,4,0
282,Bachelors,2015,0.5,1,25,0,0,3,1
283,Masters,2013,0.0,3,27,1,0,5,0
284,PHD,2014,1.0,3,24,0,0,2,0
285,Masters,2017,0.0,2,27,0,0,5,0
287,Bachelors,2012,1.0,3,26,1,0,4,0
288,Masters,2015,0.5,3,27,0,0,5,1
290,Bachelors,2016,1.0,3,24,1,0,2,0
291,Masters,2017,0.0,2,25,0,0,3,0
292,Bachelors,2017,0.0,2,28,1,0,1,0
293,Bachelors,2012,0.0,3,27,0,0,5,0
295,Bachelors,2015,1.0,3,26,0,1,4,1
296,Bachelors,2014,0.5,3,28,1,0,2,0
297,Bachelors,2016,1.0,3,24,0,0,2,1
298,Bachelors,2012,1.0,3,28,1,0,3,0
299,Bachelors,2012,1.0,3,27,1,0,5,0
302,Bachelors,2014,0.0,3,27,0,1,5,0
303,Bachelors,2015,0.5,3,26,0,1,4,1
304,Masters,2014,0.0,3,26,1,0,4,1
305,PHD,2015,0.0,3,25,0,0,3,0
307,Bachelors,2012,0.5,3,27,1,0,5,0
308,Masters,2017,0.0,2,24,0,0,2,0
310,Masters,2015,0.5,3,28,0,0,2,0
311,Bachelors,2017,1.0,3,24,0,0,2,0
312,Bachelors,2017,0.5,3,25,1,0,3,0
313,Bachelors,2017,1.0,1,25,1,0,3,0
315,Bachelors,2017,0.5,3,26,1,0,4,0
317,Bachelors,2014,0.5,3,25,0,0,3,1
318,Bachelors,2018,0.5,3,26,0,0,4,1
319,Bachelors,2016,1.0,3,27,1,0,5,0
320,Bachelors,2017,1.0,3,28,0,0,2,0
322,Masters,2012,0.0,3,24,0,0,2,1
324,Bachelors,2015,0.0,3,26,0,1,4,0
326,Bachelors,2018,0.5,3,25,1,1,3,1
327,Masters,2017,0.0,3,24,1,0,2,0
328,Bachelors,2013,1.0,3,28,1,0,2,1
329,Bachelors,2017,1.0,3,24,1,0,2,0
331,Bachelors,2013,0.5,2,28,0,0,1,1
334,Bachelors,2015,0.0,2,27,0,0,5,1
335,Bachelors,2018,1.0,3,24,0,0,2,1
337,Bachelors,2013,1.0,3,24,1,1,2,0
338,Bachelors,2013,1.0,3,24,0,0,2,0
342,Bachelors,2012,0.5,3,24,0,0,2,1
343,Bachelors,2016,1.0,3,24,1,1,2,1
345,Bachelors,2017,0.0,2,27,1,0,5,0
346,Bachelors,2012,0.5,2,27,0,0,5,1
347,Masters,2017,0.5,2,27,1,0,5,0
348,Bachelors,2017,0.5,2,24,1,0,2,1
349,Bachelors,2016,0.5,1,26,0,0,4,1
350,Bachelors,2015,0.5,3,26,0,0,4,1
352,Bachelors,2012,0.5,3,26,1,0,4,0
355,Bachelors,2017,1.0,3,25,0,1,3,0
356,Masters,2017,0.5,2,26,1,0,4,0
358,Masters,2015,0.5,2,25,0,0,3,1
359,Bachelors,2017,0.0,2,26,0,0,4,0
362,Bachelors,2017,0.0,3,27,0,0,5,0
363,Bachelors,2015,0.0,3,24,0,0,2,0
364,Masters,2017,1.0,1,26,0,0,4,1
365,Bachelors,2017,0.0,1,28,0,0,2,0
368,Bachelors,2014,1.0,3,25,0,0,3,0
369,Bachelors,2014,1.0,3,28,1,0,2,0
370,Bachelors,2017,1.0,3,28,1,0,3,0
371,Masters,2015,0.0,1,27,1,0,5,0
373,Masters,2018,1.0,3,25,1,1,3,1
374,Bachelors,2016,1.0,3,28,0,0,3,0
375,Bachelors,2018,0.0,3,26,0,1,4,1
376,Bachelors,2015,0.5,2,24,0,0,2,1
377,Bachelors,2017,1.0,3,27,1,1,5,0
379,Bachelors,2014,1.0,3,24,1,0,2,0
380,Bachelors,2016,1.0,3,28,1,0,2,0
381,Bachelors,2015,0.5,2,25,0,0,3,1
382,Bachelors,2013,0.5,3,27,1,0,5,0
388,Bachelors,2015,0.5,3,28,1,0,2,0
389,Bachelors,2014,0.0,2,24,0,0,2,1
390,Bachelors,2013,1.0,3,24,1,0,2,0
391,Bachelors,2018,1.0,3,28,1,1,3,1
393,Bachelors,2014,0.5,2,26,1,0,4,0
395,PHD,2013,1.0,3,25,1,0,3,0
397,Bachelors,2017,0.0,2,28,0,0,1,0
398,Bachelors,2015,0.5,1,26,0,0,4,1
399,Masters,2017,0.0,3,26,1,1,4,1
401,Bachelors,2012,0.0,3,24,0,0,2,0
402,Bachelors,2017,0.0,2,24,1,0,2,0
404,Bachelors,2012,1.0,3,26,0,0,4,0
406,Masters,2014,0.5,3,25,1,0,3,0
408,Bachelors,2016,0.5,3,24,1,0,2,0
409,Bachelors,2016,1.0,3,26,0,0,4,0
410,Bachelors,2015,0.5,2,25,0,1,3,1
411,Masters,2013,0.0,2,25,1,0,3,1
413,Bachelors,2015,0.5,2,26,0,1,4,1
414,Masters,2015,1.0,2,26,0,0,4,1
415,Bachelors,2012,0.5,3,27,0,0,5,0
416,Masters,2017,0.0,3,28,1,1,2,0
420,Bachelors,2013,0.0,3,27,0,1,5,0
421,Bachelors,2015,0.0,3,26,1,0,4,0
423,Bachelors,2017,0.5,2,27,1,0,5,0
425,PHD,2018,0.0,3,25,1,0,3,1
426,Bachelors,2014,0.5,3,27,1,0,5,0
428,Masters,2017,0.5,2,24,0,0,2,1
429,PHD,2016,0.0,2,28,1,0,3,1
431,Masters,2017,0.0,2,27,1,1,5,1
432,PHD,2013,0.0,3,27,1,0,5,0
433,Masters,2014,0.0,3,28,0,0,1,0
434,Bachelors,2017,0.5,3,27,1,0,5,0
436,Masters,2014,1.0,3,26,1,0,4,1
437,Masters,2012,0.5,3,27,1,0,5,0
438,Bachelors,2017,1.0,3,26,1,0,4,0
439,Masters,2017,0.5,2,27,1,0,5,1
442,Bachelors,2016,0.5,3,27,1,1,5,0
443,Bachelors,2014,0.5,3,25,1,0,3,0
445,Masters,2012,0.5,3,24,1,0,2,0
447,Bachelors,2013,0.5,2,25,1,0,3,1
450,Bachelors,2013,0.5,3,26,1,0,4,0
453,Bachelors,2015,0.0,3,25,1,0,3,0
454,PHD,2012,0.5,3,24,1,0,2,0
458,Masters,2015,0.0,3,24,0,0,2,0
461,Masters,2017,0.0,3,24,1,0,2,1
462,Bachelors,2014,1.0,1,25,1,1,3,0
463,Bachelors,2018,1.0,3,28,1,0,1,1
464,Bachelors,2017,1.0,3,28,1,1,3,0
465,Masters,2013,1.0,3,28,0,1,2,1
466,Bachelors,2013,1.0,3,26,1,1,4,0
467,Masters,2018,0.0,1,24,1,1,2,1
469,PHD,2013,0.0,2,27,0,0,5,0
470,Masters,2018,0.0,3,28,1,1,2,1
471,Bachelors,2014,1.0,3,28,1,0,3,1
473,Bachelors,2013,0.0,3,24,0,0,2,1
474,Bachelors,2015,0.5,2,28,0,0,1,1
476,Bachelors,2017,0.0,2,28,0,0,3,0
477,Masters,2012,0.5,3,27,0,0,5,1
478,Masters,2017,0.5,3,25,0,1,3,1
480,Masters,2017,0.0,2,27,1,0,5,1
485,Masters,2017,0.5,2,24,1,0,2,0
488,Bachelors,2013,0.5,2,24,1,1,2,1
490,PHD,2015,0.0,2,28,0,0,1,0
495,Masters,2014,0.0,3,27,1,0,5,0
498,Bachelors,2018,0.5,3,25,1,0,3,1
499,Bachelors,2013,1.0,3,26,1,1,4,1
500,Bachelors,2015,0.0,3,25,1,0,3,1
501,Bachelors,2017,0.0,2,25,0,0,3,1
502,Bachelors,2012,1.0,3,25,1,1,3,0
503,Bachelors,2014,0.0,3,28,0,0,2,0
505,Bachelors,2018,0.5,3,26,1,0,4,1
506,Masters,2014,0.0,3,28,1,0,2,0
508,Masters,2017,0.5,3,25,1,0,3,1
509,Bachelors,2018,1.0,3,28,1,0,2,1
511,Bachelors,2012,1.0,3,24,1,1,2,0
512,Bachelors,2015,1.0,3,28,0,0,1,0
515,Bachelors,2016,0.0,3,24,0,0,2,0
516,Bachelors,2012,1.0,3,25,0,0,3,0
517,Bachelors,2012,0.5,3,28,1,0,3,0
520,Bachelors,2016,1.0,3,27,0,0,5,0
521,Masters,2015,0.5,2,24,0,0,2,0
522,Masters,2014,1.0,3,24,0,0,2,1
523,Bachelors,2013,1.0,3,25,1,0,3,0
527,Bachelors,2017,0.0,2,28,1,0,3,0
529,PHD,2014,0.0,3,24,1,0,2,0
530,Masters,2017,0.0,2,26,0,0,4,0
531,Masters,2018,0.0,3,25,1,0,3,1
533,Bachelors,2014,1.0,3,25,1,0,3,1
534,Bachelors,2018,0.0,3,28,0,0,3,1
535,Masters,2017,0.0,2,25,1,1,3,1
536,Masters,2013,0.0,3,28,1,0,2,0
539,Masters,2013,0.0,3,25,0,0,3,0
540,Bachelors,2016,1.0,3,25,1,0,3,0
542,Masters,2017,0.0,2,26,1,1,4,1
544,Bachelors,2013,1.0,3,28,1,0,2,0
545,Masters,2015,0.5,3,28,0,1,2,0
547,Masters,2014,0.5,2,27,0,0,5,0
550,Masters,2015,0.5,1,27,0,0,5,0
551,Bachelors,2013,1.0,1,28,1,0,3,1
552,Bachelors,2012,0.5,2,26,0,0,4,1
554,Masters,2017,0.0,2,25,1,0,3,0
557,Bachelors,2017,0.0,3,26,1,0,4,0
558,Bachelors,2014,1.0,3,28,0,0,1,1
560,Bachelors,2015,0.5,2,28,0,0,3,1
562,Bachelors,2016,1.0,3,27,0,0,5,1
564,Masters,2018,0.5,3,25,1,0,3,1
566,Bachelors,2014,0.5,3,26,1,0,4,0
567,PHD,2017,0.0,3,27,1,0,5,0
572,Bachelors,2013,1.0,3,28,1,1,3,0
574,Bachelors,2018,1.0,3,27,1,0,5,1
576,Bachelors,2017,0.5,2,25,0,0,3,1
577,Bachelors,2017,0.5,2,26,0,0,4,1
579,Masters,2017,0.5,2,26,1,0,4,1
580,Masters,2015,0.0,3,28,0,1,2,0
581,Bachelors,2012,0.0,2,25,1,0,3,1
582,Bachelors,2016,1.0,3,25,0,0,3,0
590,Masters,2012,0.5,2,26,0,0,4,0
591,Masters,2016,0.0,3,27,1,0,5,1
592,PHD,2017,1.0,3,28,1,0,1,0
595,Bachelors,2018,1.0,1,27,1,0,5,0
603,Bachelors,2018,1.0,3,28,0,0,3,1
604,Bachelors,2016,1.0,3,27,1,1,5,0
606,Masters,2015,0.0,3,24,0,0,2,1
607,Bachelors,2017,0.0,3,24,1,0,2,0
609,Masters,2013,0.5,3,28,1,0,2,1
610,Bachelors,2017,0.5,3,27,0,0,5,1
618,Bachelors,2016,1.0,3,26,1,0,4,1
621,Bachelors,2014,0.0,3,28,0,0,3,0
623,Bachelors,2016,0.5,3,28,1,0,3,0
624,Masters,2017,1.0,3,27,1,0,5,1
628,Masters,2017,0.5,3,26,1,0,4,1
629,Bachelors,2013,1.0,3,25,1,1,3,0
630,Bachelors,2015,0.5,2,28,0,0,2,1
631,PHD,2013,1.0,1,26,1,0,4,0
632,Masters,2012,0.5,3,27,1,0,5,1
633,Bachelors,2016,1.0,1,28,1,0,2,0
636,Masters,2017,0.0,2,24,0,1,2,1
637,Bachelors,2015,1.0,1,25,0,1,3,0
652,Bachelors,2015,0.5,3,25,0,0,3,1
654,Bachelors,2015,0.5,3,24,1,0,2,0
656,Bachelors,2018,1.0,1,25,1,1,3,0
657,Masters,2017,0.5,2,28,0,0,1,0
661,Bachelors,2014,1.0,3,28,0,0,2,0
663,Bachelors,2017,0.0,2,24,0,0,2,0
664,PHD,2013,0.0,2,25,1,0,3,1
667,Bachelors,2015,1.0,1,25,1,0,3,0
669,PHD,2014,0.0,3,28,1,0,2,1
670,Masters,2018,0.0,3,27,0,0,5,1
671,Bachelors,2016,0.0,3,27,0,0,5,0
672,Masters,2017,0.0,2,25,1,0,3,1
674,Bachelors,2016,0.0,3,27,0,1,5,0
676,Bachelors,2018,0.5,3,28,0,0,1,1
678,Bachelors,2018,0.5,3,28,1,0,1,1
679,Bachelors,2017,1.0,1,26,0,0,4,0
680,Bachelors,2013,1.0,3,24,1,0,2,1
681,Bachelors,2012,0.0,3,26,0,0,4,0
682,Bachelors,2012,0.5,3,25,1,0,3,0
683,Masters,2013,0.0,2,24,1,0,2,1
685,Bachelors,2016,0.0,3,28,0,0,2,0
687,Masters,2014,0.0,3,24,1,0,2,0
693,Bachelors,2015,1.0,3,25,0,0,3,1
695,Bachelors,2015,0.5,2,27,0,0,5,1
698,Bachelors,2017,0.0,3,27,0,1,5,0
699,Masters,2017,0.5,1,24,1,0,2,0
706,Bachelors,2015,1.0,3,28,1,1,1,1
709,Masters,2013,1.0,3,27,1,0,5,1
711,Bachelors,2015,0.0,2,28,0,1,2,1
714,Bachelors,2017,1.0,3,27,0,0,5,0
716,Bachelors,2015,0.5,2,27,1,0,5,0
718,Bachelors,2018,1.0,3,27,1,1,5,1
721,Bachelors,2013,0.0,2,24,0,0,2,1
723,Bachelors,2015,0.5,2,28,0,1,2,1
725,Bachelors,2016,1.0,3,24,0,0,2,0
726,Masters,2017,0.5,3,24,1,0,2,1
727,Masters,2016,0.5,3,24,1,0,2,0
728,Bachelors,2013,1.0,3,28,1,1,1,1
729,Bachelors,2015,1.0,1,28,0,0,1,0
730,PHD,2018,1.0,3,24,0,0,2,1
731,Bachelors,2016,1.0,3,26,1,1,4,0
733,Bachelors,2013,1.0,3,25,1,0,3,1
734,Masters,2016,0.0,3,24,1,0,2,1
735,Bachelors,2017,0.0,1,25,0,0,3,0
736,Bachelors,2013,1.0,3,28,1,0,3,0
739,Masters,2014,0.0,3,24,1,0,2,1
740,PHD,2012,0.0,3,24,1,0,2,0
744,Bachelors,2014,0.5,3,25,1,0,3,1
750,Bachelors,2012,0.5,2,26,1,0,4,0
751,Masters,2017,1.0,3,28,0,0,3,1
753,Bachelors,2012,1.0,3,28,0,0,2,0
755,Bachelors,2012,1.0,3,27,0,0,5,0
756,Masters,2016,0.0,3,28,1,0,1,0
762,Bachelors,2016,0.0,3,25,0,1,3,0
764,Masters,2015,0.0,3,28,0,0,3,0
765,Bachelors,2013,0.0,1,24,0,0,2,1
769,Bachelors,2015,0.0,3,25,0,0,3,1
771,Bachelors,2016,0.5,1,25,0,0,3,1
772,Masters,2013,0.0,3,25,1,1,3,1
774,Masters,2013,0.0,3,25,0,0,3,1
775,Bachelors,2013,1.0,1,28,0,0,2,0
776,Masters,2014,1.0,3,27,0,0,5,1
780,Bachelors,2017,0.0,3,25,1,0,3,0
782,Bachelors,2013,0.5,2,27,1,1,5,0
784,Bachelors,2016,1.0,3,25,1,1,3,0
